qstr_Next_Page|Следующая страница
qstr_._Hell_I_am_bound_to|. Черт, я обязан{reg65?а:} услышать кое-что ценное на следующей неделе. Тогда и приходите.
qstr_._Perhaps_you_should_c|. Возможно, вам стоит вернуться на следующей неделе. Я скоро ожидаю поставку, а этот поставщик всегда очень осведомлен.
qstr__{s2}_I_must_tell_yo|{s2} я вынужден{reg65?а:} сказать вам, что я слышал{reg65?а:} {s5}{s6}
qstr__{s2}_so_few_people_h|{s2} некоторые посетители действительно говорили о чем-то интригующем. Но я смог{reg65?ла:} услышать {s5}{s6}
qstr__{s2}_I_have_encounte|{s2} я в последнее время слышал{reg65?а:} {s5}{s6}
qstr__{s2}_I_have_been_sp|{s2} я говорил{reg65?а:} с мастерами гильдии, даже они слышали {s5}{s6}
qstr__{s2}_I_wish_that_my|{s2} я хотел{reg65?а:} бы, чтобы мои новости были лучше. Но судьба позволила услышать {s5}{s6}
qstr__{s2}_I_have_been_ov|{s2} недавно я наткнул{reg65?ась:ся} на сбежавших рабов, таким образом, я услышал{reg65?а:} {s5}{s6}
qstr_no_news|малоинтересные сплетни
qstr_only_worthless_infor|только ничего не стоящие слухи
qstr_nothing_but_soldiers|только болтовню солдат и сплетни поваров
qstr_unsubstantiated_goss|лишь необоснованные сплетни
qstr__My_{reg63?Lord:Lady|{reg63?Милорд:Миледи},
qstr__Castle_business_is_|Для того чтобы замок приносил доходы, мне приходится много времени уделять налоговым сборам,
qstr__Of_course_good_{reg|Дорог{reg63?ой лорд:ая леди},
qstr__My_sources_are_mute|Мои источники притихли,
qstr_._I_am_sorry_{reg63?|. Мне очень жаль, {reg63?милорд:миледи}, я постараюсь слушать внимательней в следующий раз.
qstr_._Perhaps_you_should_a|. Возможно, вам следует спросить кого-то еще. Может шпиона?
qstr_._Have_you_tried_see|. Вы пробовали искать информацию в тавернах?
qstr_._Have_you_thought_o|. Возможно, стоит спросить у торговцев, они находятся в контакте со многими путешественниками и слышат много слухов, заслуживающих внимания.
qstr_._I_am_sure_that_the|. Я уверен{reg65?а:}, что найдется кто-нибудь еще, у кого может быть информация, которую вы ищете.
qstr_._I_am_not_a_rumor_m|. Я не торгов{reg65?ка:ец} слухами, {reg63?сэр:леди}, я не намерен{reg65?а:} искать сплетни.
qstr_._Perhaps_you_should_co|. Возможно, вы должны возвратиться позже. Никогда не знаешь, что подслушаешь в этих залах.
qstr__{s2}_few_people_have|{s2} несмотря на то, что некоторые люди тут разговаривали, я слышал{reg65?а:} {s5}{s6}
qstr__{s2}_I_have_been_busy|{s2} я был{reg65?а:} занят{reg65?а:} в замке, услышал{reg65?а:} {s5}{s6}
qstr__{s2}_I_have_not_had|{s2} у меня на работе нет времени подслушивать чужие разговоры. Таким образом, могу вам повторить {s5}{s6}
